second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
0,14,18,2,2
1,16,17,0,1
2,17,13,2,1
3,19,17,4,1
4,20,15,4,1
5,15,17,4,2
6,18,20,5,0
7,17,18,2,2
8,14,15,6,3
9,18,17,3,4
10,16,16,9,4
11,15,15,7,6
12,14,18,9,4
13,21,16,8,2
14,22,19,7,1
15,24,17,8,3
16,22,19,7,4
17,20,20,5,5
18,22,15,6,4
19,22,14,4,6
20,23,18,4,8
21,22,16,3,7
22,18,13,2,4
23,23,14,2,3
24,23,18,2,3
25,26,20,3,5
26,19,19,4,2
27,24,23,5,1
28,19,22,4,2
29,20,19,4,1
30,14,17,6,1
31,14,18,1,3
32,17,18,0,5
33,15,16,0,5
34,14,17,2,5
35,16,19,2,5
36,17,18,3,5
37,16,21,4,3
38,20,21,3,2
39,19,23,4,2
40,19,23,5,0
41,15,25,4,0
42,13,20,4,2
43,20,19,5,2
44,16,23,5,5
45,18,17,4,3
46,17,23,2,4
47,17,20,1,3
48,23,22,2,3
49,20,20,1,3
50,21,16,4,2
51,19,11,6,2
52,23,14,8,3
53,23,14,10,2
54,22,15,11,4
55,30,14,11,8
56,26,10,7,10
57,28,12,8,12
58,28,15,6,8
59,30,14,5,6
60,34,18,6,3
61,31,17,7,6
62,34,16,4,7
63,36,14,5,5
64,36,12,5,4
65,40,14,4,3
66,30,13,3,3
67,23,16,3,3
68,33,12,4,3
69,30,13,4,3
70,28,12,8,4
71,24,12,6,4
72,31,12,3,4
73,29,14,4,6
74,29,13,4,6
75,29,11,4,7
76,32,14,4,5
77,30,13,3,7
78,31,14,4,7
79,33,17,2,6
80,32,14,4,5
81,34,14,5,5
82,31,15,5,2
83,26,13,6,3
84,29,14,3,3
85,29,16,5,2
86,25,14,8,1
87,31,18,5,2
88,30,22,5,4
89,25,19,6,4
90,29,18,5,0
91,28,16,6,1
92,22,25,5,1
93,22,25,4,3
94,26,19,4,4
95,28,19,3,5
96,26,29,4,3
97,22,20,3,8
98,27,26,4,9
99,22,23,4,12
100,23,22,6,10
101,21,20,4,9
102,23,22,9,10
103,19,17,5,7
104,22,17,2,8
105,27,16,7,8
106,28,18,6,4
107,25,20,4,2
108,24,14,6,6
109,28,14,7,2
110,27,12,4,2
111,32,10,7,2
112,26,9,7,3
113,23,10,6,4
114,17,21,7,4
115,31,17,7,3
116,30,17,6,3
117,26,27,6,2
118,25,20,4,1
119,27,19,4,2
120,22,23,5,2
121,18,15,3,2
122,17,13,5,1
123,13,14,4,0
124,27,15,4,0
125,10,10,3,2
126,7,8,3,2
127,23,14,4,0
128,23,5,2,2
129,14,22,3,2
130,26,18,4,1
131,29,15,7,1
132,27,15,7,2
133,28,13,9,3
134,25,12,5,2
135,26,15,4,2
136,29,9,3,2
137,27,12,6,5
138,24,11,5,8
139,19,10,4,5
140,17,12,3,6
141,23,14,6,7
142,18,12,5,5
143,22,15,4,3
144,28,16,8,4
145,28,12,8,4
146,32,14,7,3
147,28,10,8,2
148,24,14,7,3
149,32,9,8,6
150,30,9,6,5
151,26,14,8,7
152,28,13,11,3
153,30,12,9,3
154,28,14,7,6
155,25,13,8,5
156,27,17,3,4
157,27,14,3,2
158,24,13,2,2
159,30,15,5,1
160,27,14,9,4
161,25,16,6,3
162,18,15,6,6
163,23,11,4,2
164,30,16,4,3
165,26,16,4,2
166,22,18,4,2
167,26,15,4,1
168,28,22,3,3
169,27,19,4,2
170,31,15,5,1
171,22,13,4,1
172,26,11,5,1
173,32,13,4,1
174,28,16,4,1
175,25,15,5,3
176,27,12,5,1
177,24,12,5,2
178,23,12,5,1
179,20,13,5,1
180,23,10,4,4
181,26,13,4,5
182,28,15,4,5
183,30,19,3,5
184,29,11,5,3
185,28,16,4,5
186,19,14,5,4
187,23,11,6,5
188,27,9,4,4
189,23,9,6,5
190,22,12,7,5
191,29,10,7,6
192,25,11,6,6
193,31,9,5,7
194,28,15,5,4
195,26,15,5,2
196,28,17,6,3
197,25,16,8,3
198,28,21,8,2
199,31,21,8,2
200,27,23,3,0
201,27,16,3,5
202,33,15,4,1
203,25,12,7,2
204,32,17,6,6
205,34,15,5,6
206,30,15,5,4
207,32,19,3,7
208,28,12,5,7
209,35,16,5,3
210,35,16,8,2
211,29,15,7,4
212,29,14,6,4
213,20,15,6,6
214,26,18,4,4
215,25,16,3,5
216,33,21,3,6
217,27,14,2,5
218,29,13,5,3
219,22,15,5,7
220,22,16,1,7
221,25,18,3,6
222,26,18,1,8
223,21,18,2,8
224,23,16,6,9
225,25,12,6,9
226,24,16,6,5
227,29,13,5,7
228,28,19,3,7
229,28,13,3,6
230,19,9,4,8
231,25,13,4,13
232,21,12,4,15
233,26,10,4,15
234,23,15,3,17
235,25,15,3,15
236,25,11,4,14
237,22,13,4,12
238,18,15,4,10
239,22,18,6,9
240,20,15,5,14
241,22,11,3,18
242,23,16,0,12
243,27,16,2,14
244,27,15,1,7
245,24,16,2,5
246,24,20,5,9
247,28,12,5,7
248,25,17,5,7
249,32,14,7,8
250,31,15,8,9
251,26,14,8,10
252,29,14,8,10
253,27,13,10,10
254,27,11,6,8
255,23,15,7,9
256,29,20,7,7
257,24,20,5,8
258,26,19,4,10
259,27,19,4,10
260,27,19,6,7
261,22,20,1,7
262,29,24,7,9
263,21,18,4,7
264,22,22,3,8
265,23,18,7,10
266,28,20,7,10
267,37,14,8,8
268,33,23,11,8
269,26,20,8,5
270,33,17,7,7
271,33,17,9,5
272,27,20,7,7
